,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
513,Guingamp,2016,2017,38,14,8,16,46,53,50,17.0,8.0,13.0,60.0,-10.0
514,Lille,2016,2017,38,13,7,18,40,47,46,17.0,9.0,12.0,61.0,-15.0
515,Angers,2016,2017,38,13,7,18,40,49,46,17.0,9.0,12.0,60.0,-14.0
516,Toulouse,2016,2017,38,10,14,14,37,41,44,17.0,10.0,11.0,62.0,-18.0
517,Metz,2016,2017,38,11,10,17,39,72,43,14.0,7.0,17.0,51.0,-8.0
518,Montpellier,2016,2017,38,10,9,19,48,66,39,16.0,7.0,15.0,56.0,-17.0
519,Dijon,2016,2017,38,8,13,17,46,58,37,17.0,8.0,13.0,58.0,-21.0
520,Caen,2016,2017,38,10,7,21,36,65,37,14.0,8.0,16.0,52.0,-15.0
521,Lorient,2016,2017,38,10,6,22,44,70,36,15.0,7.0,16.0,54.0,-18.0
522,Nancy,2016,2017,38,9,8,21,29,52,35,14.0,10.0,14.0,53.0,-18.0
523,SC Bastia,2016,2017,38,8,10,20,29,57,34,14.0,9.0,15.0,51.0,-17.0
524,Paris Saint Germain,2017,2018,38,29,6,3,108,29,93,26.0,7.0,5.0,85.0,8.0
525,Monaco,2017,2018,38,24,8,6,85,45,80,22.0,6.0,10.0,73.0,7.0
526,Lyon,2017,2018,38,23,9,6,87,43,78,22.0,6.0,10.0,74.0,4.0
527,Marseille,2017,2018,38,22,11,5,80,47,77,21.0,6.0,11.0,71.0,6.0
528,Rennes,2017,2018,38,16,10,12,50,44,58,19.0,8.0,11.0,65.0,-7.0
529,Bordeaux,2017,2018,38,16,7,15,53,48,55,19.0,8.0,11.0,64.0,-9.0
530,Saint-Etienne,2017,2018,38,15,10,13,47,50,55,18.0,8.0,12.0,62.0,-7.0
531,Nice,2017,2018,38,15,9,14,53,52,54,18.0,7.0,13.0,62.0,-8.0
532,Nantes,2017,2018,38,14,10,14,36,41,52,17.0,10.0,11.0,62.0,-10.0
533,Montpellier,2017,2018,38,11,18,9,36,33,51,19.0,11.0,8.0,67.0,-16.0
534,Dijon,2017,2018,38,13,9,16,55,73,48,16.0,6.0,16.0,56.0,-8.0
535,Guingamp,2017,2018,38,12,11,15,48,59,47,17.0,7.0,14.0,59.0,-12.0
536,Amiens,2017,2018,38,12,9,17,37,42,45,17.0,10.0,11.0,62.0,-17.0
537,Angers,2017,2018,38,9,14,15,42,52,41,17.0,8.0,13.0,59.0,-18.0
538,Strasbourg,2017,2018,38,9,11,18,44,67,38,16.0,7.0,15.0,54.0,-16.0
539,Caen,2017,2018,38,10,8,20,27,52,38,14.0,10.0,14.0,52.0,-14.0
540,Lille,2017,2018,38,10,8,20,41,67,38,15.0,7.0,16.0,53.0,-15.0
541,Toulouse,2017,2018,38,9,10,19,38,54,37,16.0,8.0,14.0,57.0,-20.0
542,Troyes,2017,2018,38,9,6,23,32,59,33,14.0,9.0,15.0,52.0,-19.0
543,Metz,2017,2018,38,6,8,24,34,76,26,13.0,7.0,18.0,47.0,-21.0
544,Paris Saint Germain,2018,2019,38,29,4,5,105,35,91,25.0,6.0,7.0,81.0,10.0
545,Lille,2018,2019,38,22,9,7,68,33,75,23.0,8.0,7.0,77.0,-2.0
546,Lyon,2018,2019,38,21,9,8,70,47,72,21.0,7.0,10.0,69.0,3.0
547,Saint-Etienne,2018,2019,38,19,9,10,59,41,66,20.0,8.0,10.0,70.0,-4.0
548,Marseille,2018,2019,38,18,7,13,60,52,61,19.0,7.0,12.0,65.0,-4.0
549,Montpellier,2018,2019,38,15,14,9,53,42,59,20.0,8.0,10.0,67.0,-8.0
550,Nice,2018,2019,38,15,11,12,30,35,56,17.0,11.0,10.0,63.0,-7.0
551,Reims,2018,2019,38,13,16,9,39,42,55,18.0,9.0,11.0,63.0,-8.0
552,Nimes,2018,2019,38,15,8,15,57,58,53,18.0,7.0,13.0,61.0,-8.0
553,Rennes,2018,2019,38,13,13,12,55,52,52,18.0,7.0,13.0,63.0,-11.0
554,Strasbourg,2018,2019,38,11,16,11,58,48,49,19.0,7.0,12.0,66.0,-17.0
555,Nantes,2018,2019,38,13,9,16,48,48,48,18.0,8.0,12.0,63.0,-15.0
556,Angers,2018,2019,38,10,16,12,44,49,46,18.0,8.0,12.0,61.0,-15.0
557,Bordeaux,2018,2019,38,10,11,17,34,42,41,17.0,10.0,11.0,61.0,-20.0
558,Amiens,2018,2019,38,9,11,18,31,52,38,15.0,9.0,14.0,54.0,-16.0
559,Toulouse,2018,2019,38,8,14,16,35,57,38,15.0,9.0,14.0,54.0,-16.0
560,Monaco,2018,2019,38,8,12,18,38,57,36,16.0,8.0,14.0,56.0,-20.0
561,Dijon,2018,2019,38,9,7,22,31,60,34,14.0,9.0,15.0,51.0,-17.0
562,Caen,2018,2019,38,7,12,19,29,54,33,14.0,9.0,15.0,52.0,-19.0
563,Guingamp,2018,2019,38,5,12,21,28,68,27,13.0,8.0,17.0,47.0,-20.0
564,Paris Saint Germain,2019,2020,27,22,2,3,75,24,68,17.0,6.0,4.0,59.0,9.0
565,Marseille,2019,2020,28,16,8,4,41,29,56,15.0,8.0,5.0,53.0,3.0
566,Rennes,2019,2020,28,15,5,8,38,24,50,15.0,9.0,4.0,55.0,-5.0
567,Lille,2019,2020,28,15,4,9,35,27,49,14.0,9.0,5.0,52.0,-3.0
568,Reims,2019,2020,28,10,11,7,26,21,41,14.0,11.0,3.0,54.0,-13.0
569,Nice,2019,2020,28,11,8,9,41,38,41,13.0,7.0,8.0,48.0,-7.0
570,Lyon,2019,2020,28,11,7,10,42,27,40,15.0,8.0,5.0,54.0,-14.0
571,Montpellier,2019,2020,28,11,7,10,35,34,40,13.0,8.0,7.0,48.0,-8.0
572,Monaco,2019,2020,28,11,7,10,44,44,40,13.0,6.0,9.0,47.0,-7.0
573,Angers,2019,2020,28,11,6,11,28,33,39,12.0,9.0,7.0,47.0,-8.0
574,Strasbourg,2019,2020,27,11,5,11,32,32,38,13.0,8.0,6.0,47.0,-9.0
575,Bordeaux,2019,2020,28,9,10,9,40,34,37,14.0,8.0,6.0,50.0,-13.0
576,Nantes,2019,2020,28,11,4,13,28,31,37,13.0,9.0,6.0,48.0,-11.0
577,Brest,2019,2020,28,8,10,10,34,37,34,13.0,8.0,7.0,47.0,-13.0
578,Metz,2019,2020,28,8,10,10,27,35,34,12.0,9.0,7.0,45.0,-11.0
579,Dijon,2019,2020,28,7,9,12,27,37,30,12.0,9.0,7.0,44.0,-14.0
580,Saint-Etienne,2019,2020,28,8,6,14,29,45,30,11.0,8.0,9.0,42.0,-12.0
581,Nimes,2019,2020,28,7,6,15,29,44,27,11.0,8.0,9.0,42.0,-15.0
582,Amiens,2019,2020,28,4,11,13,31,50,23,11.0,7.0,10.0,41.0,-18.0
583,Toulouse,2019,2020,28,3,4,21,22,58,13,9.0,8.0,11.0,35.0,-22.0
584,Lille,2020,2021,38,24,11,3,64,23,83,24.0,9.0,5.0,82.0,1.0
585,Paris Saint Germain,2020,2021,38,26,4,8,86,28,82,25.0,8.0,5.0,82.0,0.0
586,Monaco,2020,2021,38,24,6,8,76,42,78,22.0,7.0,9.0,73.0,5.0
587,Lyon,2020,2021,38,22,10,6,81,43,76,22.0,7.0,9.0,73.0,3.0
588,Marseille,2020,2021,38,16,12,10,54,47,60,19.0,8.0,11.0,65.0,-5.0
589,Rennes,2020,2021,38,16,10,12,52,40,58,20.0,8.0,10.0,68.0,-10.0
590,Lens,2020,2021,38,15,12,11,55,54,57,18.0,7.0,13.0,63.0,-6.0
591,Montpellier,2020,2021,38,14,12,12,60,62,54,18.0,6.0,14.0,61.0,-7.0
592,Nice,2020,2021,38,15,7,16,50,53,52,18.0,8.0,12.0,62.0,-10.0
593,Metz,2020,2021,38,12,11,15,44,48,47,18.0,8.0,12.0,61.0,-14.0
594,Saint-Etienne,2020,2021,38,12,10,16,42,54,46,17.0,8.0,13.0,58.0,-12.0
595,Bordeaux,2020,2021,38,13,6,19,42,56,45,16.0,8.0,14.0,57.0,-12.0
596,Angers,2020,2021,38,12,8,18,40,58,44,16.0,8.0,14.0,56.0,-12.0
597,Reims,2020,2021,38,9,15,14,42,50,42,17.0,8.0,13.0,60.0,-18.0
598,Strasbourg,2020,2021,38,11,9,18,49,58,42,17.0,7.0,14.0,59.0,-17.0
599,Lorient,2020,2021,38,11,9,18,50,68,42,16.0,7.0,15.0,56.0,-14.0
600,Brest,2020,2021,38,11,8,19,50,66,41,16.0,7.0,15.0,57.0,-16.0
601,Nantes,2020,2021,38,9,13,16,47,55,40,17.0,8.0,13.0,60.0,-20.0
602,Nimes,2020,2021,38,9,8,21,40,71,35,15.0,7.0,16.0,52.0,-17.0
603,Dijon,2020,2021,38,4,9,25,25,73,21,12.0,9.0,17.0,44.0,-23.0
604,Paris Saint Germain,2021,2022,38,26,8,4,90,36,86,24.0,7.0,7.0,78.0,8.0
605,Marseille,2021,2022,38,21,8,9,63,38,71,21.0,8.0,9.0,72.0,-1.0
606,Monaco,2021,2022,38,20,9,9,65,40,69,21.0,7.0,10.0,71.0,-2.0
607,Nice,2021,2022,38,20,7,11,52,36,67,20.0,9.0,9.0,70.0,-3.0
608,Rennes,2021,2022,38,20,6,12,82,40,66,22.0,7.0,9.0,75.0,-9.0
609,Strasbourg,2021,2022,38,17,12,9,60,43,63,20.0,8.0,10.0,69.0,-6.0
610,Lyon,2021,2022,38,17,11,10,66,51,62,20.0,7.0,11.0,67.0,-5.0
611,Lens,2021,2022,38,17,11,10,62,48,62,20.0,7.0,11.0,67.0,-5.0
612,Nantes,2021,2022,38,15,10,13,55,48,55,19.0,8.0,11.0,65.0,-10.0
613,Lille,2021,2022,38,14,13,11,48,48,55,18.0,8.0,12.0,63.0,-8.0
614,Brest,2021,2022,38,13,9,16,49,57,48,17.0,7.0,14.0,60.0,-12.0
615,Reims,2021,2022,38,11,13,14,43,44,46,18.0,9.0,11.0,63.0,-17.0
616,Montpellier,2021,2022,38,12,7,19,49,61,43,17.0,7.0,14.0,58.0,-15.0
617,Angers,2021,2022,38,10,11,17,44,55,41,17.0,8.0,13.0,59.0,-18.0
618,Troyes,2021,2022,38,9,11,18,37,53,38,16.0,9.0,13.0,57.0,-19.0
619,Lorient,2021,2022,38,8,12,18,35,63,36,15.0,8.0,15.0,52.0,-16.0
620,Clermont Foot,2021,2022,38,9,9,20,38,69,36,14.0,7.0,17.0,51.0,-15.0
621,Saint-Etienne,2021,2022,38,7,11,20,42,77,32,14.0,7.0,17.0,50.0,-18.0
622,Metz,2021,2022,38,6,13,19,35,69,31,14.0,8.0,16.0,50.0,-19.0
623,Bordeaux,2021,2022,38,6,13,19,52,91,31,15.0,6.0,17.0,51.0,-20.0
624,Juventus,2014,2015,38,26,9,3,72,24,87,25.0,9.0,4.0,83.0,4.0
625,Roma,2014,2015,38,19,13,6,54,31,70,21.0,9.0,8.0,74.0,-4.0
626,Lazio,2014,2015,38,21,6,11,71,38,69,22.0,7.0,9.0,74.0,-5.0
627,Fiorentina,2014,2015,38,18,10,10,61,46,64,20.0,7.0,11.0,68.0,-4.0
628,Napoli,2014,2015,38,18,9,11,70,54,63,20.0,6.0,12.0,66.0,-3.0
629,Genoa,2014,2015,38,16,11,11,62,47,59,20.0,7.0,11.0,67.0,-8.0
630,Sampdoria,2014,2015,38,13,17,8,48,42,56,19.0,8.0,11.0,66.0,-10.0
631,Inter,2014,2015,38,14,13,11,59,48,55,19.0,7.0,12.0,66.0,-11.0
632,Torino,2014,2015,38,14,12,12,48,45,54,19.0,8.0,11.0,65.0,-11.0
633,AC Milan,2014,2015,38,13,13,12,56,50,52,19.0,7.0,12.0,65.0,-13.0
634,Palermo,2014,2015,38,12,13,13,53,55,49,18.0,7.0,13.0,61.0,-12.0
635,Sassuolo,2014,2015,38,12,13,13,49,57,49,17.0,7.0,14.0,60.0,-11.0
636,Verona,2014,2015,38,11,13,14,49,65,46,16.0,7.0,15.0,56.0,-10.0
637,Chievo,2014,2015,38,10,13,15,28,41,43,16.0,11.0,11.0,59.0,-16.0
638,Empoli,2014,2015,38,8,18,12,46,52,42,17.0,8.0,13.0,60.0,-18.0
639,Udinese,2014,2015,38,10,11,17,43,56,41,16.0,8.0,14.0,58.0,-17.0
640,Atalanta,2014,2015,38,7,16,15,38,57,37,16.0,8.0,14.0,56.0,-19.0
641,Cagliari,2014,2015,38,8,10,20,48,68,34,16.0,7.0,15.0,55.0,-21.0
642,Parma,2014,2015,38,6,8,24,33,75,26,13.0,8.0,17.0,47.0,-21.0
643,Cesena,2014,2015,38,4,12,22,36,73,24,14.0,7.0,17.0,49.0,-25.0
644,Juventus,2015,2016,38,29,4,5,75,20,91,26.0,9.0,3.0,87.0,4.0
645,Napoli,2015,2016,38,25,7,6,80,32,82,24.0,7.0,7.0,79.0,3.0
646,Roma,2015,2016,38,23,11,4,83,41,80,23.0,7.0,8.0,75.0,5.0
647,Inter,2015,2016,38,20,7,11,50,38,67,20.0,9.0,9.0,69.0,-2.0
648,Fiorentina,2015,2016,38,18,10,10,60,42,64,20.0,8.0,10.0,69.0,-5.0
649,Sassuolo,2015,2016,38,16,13,9,49,40,61,19.0,9.0,10.0,67.0,-6.0
650,AC Milan,2015,2016,38,15,12,11,49,43,57,19.0,8.0,11.0,65.0,-8.0
651,Lazio,2015,2016,38,15,9,14,52,52,54,18.0,7.0,13.0,62.0,-8.0
652,Chievo,2015,2016,38,13,11,14,43,45,50,18.0,9.0,11.0,63.0,-13.0
653,Genoa,2015,2016,38,13,7,18,45,48,46,18.0,8.0,12.0,61.0,-15.0
654,Empoli,2015,2016,38,12,10,16,40,49,46,17.0,9.0,12.0,60.0,-14.0
655,Torino,2015,2016,38,12,9,17,52,55,45,18.0,7.0,13.0,61.0,-16.0
656,Atalanta,2015,2016,38,11,12,15,41,47,45,17.0,9.0,12.0,61.0,-16.0
657,Bologna,2015,2016,38,11,9,18,33,45,42,16.0,10.0,12.0,59.0,-17.0
658,Sampdoria,2015,2016,38,10,10,18,48,61,40,17.0,7.0,14.0,58.0,-18.0
659,Udinese,2015,2016,38,10,9,19,35,60,39,15.0,8.0,15.0,53.0,-14.0
660,Palermo,2015,2016,38,10,9,19,38,65,39,15.0,8.0,15.0,52.0,-13.0
661,Carpi,2015,2016,38,9,11,18,37,57,38,15.0,8.0,15.0,55.0,-17.0
662,Frosinone,2015,2016,38,8,7,23,35,76,31,13.0,7.0,18.0,48.0,-17.0
663,Verona,2015,2016,38,5,13,20,34,63,28,14.0,8.0,16.0,51.0,-23.0
664,Juventus,2016,2017,38,29,4,5,77,27,91,24.0,8.0,6.0,82.0,9.0
665,Roma,2016,2017,38,28,3,7,90,38,87,23.0,7.0,8.0,77.0,10.0
666,Napoli,2016,2017,38,26,8,4,94,39,86,23.0,6.0,9.0,77.0,9.0
667,Atalanta,2016,2017,38,21,9,8,62,41,72,21.0,8.0,9.0,70.0,2.0
668,Lazio,2016,2017,38,21,7,10,74,51,70,20.0,6.0,12.0,68.0,2.0
669,AC Milan,2016,2017,38,18,9,11,57,45,63,20.0,8.0,10.0,67.0,-4.0
670,Inter,2016,2017,38,19,5,14,72,49,62,21.0,7.0,10.0,69.0,-7.0
671,Fiorentina,2016,2017,38,16,12,10,63,57,60,19.0,7.0,12.0,64.0,-4.0
672,Torino,2016,2017,38,13,14,11,71,66,53,19.0,6.0,13.0,62.0,-9.0
673,Sassuolo,2016,2017,38,14,7,17,60,61,49,18.0,6.0,14.0,61.0,-12.0
674,Sampdoria,2016,2017,38,12,12,14,49,55,48,17.0,8.0,13.0,60.0,-12.0
675,Cagliari,2016,2017,38,14,5,19,55,76,47,16.0,6.0,16.0,55.0,-8.0
676,Udinese,2016,2017,38,12,9,17,47,56,45,17.0,8.0,13.0,59.0,-14.0
677,Chievo,2016,2017,38,12,7,19,43,61,43,16.0,7.0,15.0,56.0,-13.0
678,Bologna,2016,2017,38,11,8,19,40,58,41,16.0,8.0,14.0,56.0,-15.0
679,Genoa,2016,2017,38,9,9,20,38,64,36,15.0,8.0,15.0,53.0,-17.0
680,Crotone,2016,2017,38,9,7,22,34,58,34,15.0,9.0,14.0,53.0,-19.0
681,Empoli,2016,2017,38,8,8,22,29,61,32,13.0,9.0,16.0,49.0,-17.0
682,Palermo,2016,2017,38,6,8,24,33,77,26,13.0,8.0,17.0,47.0,-21.0
683,Pescara,2016,2017,38,2,9,27,35,83,15,13.0,7.0,18.0,46.0,-31.0
684,Juventus,2017,2018,38,30,5,3,86,24,95,25.0,8.0,5.0,85.0,10.0
685,Napoli,2017,2018,38,28,7,3,77,29,91,24.0,8.0,6.0,81.0,10.0
686,Roma,2017,2018,38,23,8,7,61,28,77,23.0,9.0,6.0,78.0,-1.0
687,Lazio,2017,2018,38,21,9,8,89,49,72,22.0,6.0,10.0,72.0,0.0
688,Inter,2017,2018,38,20,12,6,66,30,72,23.0,8.0,7.0,78.0,-6.0
689,AC Milan,2017,2018,38,18,10,10,56,42,64,20.0,8.0,10.0,68.0,-4.0
690,Atalanta,2017,2018,38,16,12,10,57,39,60,20.0,8.0,10.0,70.0,-10.0
691,Fiorentina,2017,2018,38,16,9,13,54,46,57,19.0,8.0,11.0,66.0,-9.0
692,Torino,2017,2018,38,13,15,10,54,46,54,19.0,8.0,11.0,66.0,-12.0
693,Sampdoria,2017,2018,38,16,6,16,56,60,54,18.0,7.0,13.0,60.0,-6.0
694,Sassuolo,2017,2018,38,11,10,17,29,59,43,14.0,9.0,15.0,50.0,-7.0
695,Genoa,2017,2018,38,11,8,19,33,43,41,16.0,10.0,12.0,59.0,-18.0
696,Udinese,2017,2018,38,12,4,22,48,63,40,17.0,7.0,14.0,57.0,-17.0
697,Chievo,2017,2018,38,10,10,18,36,59,40,15.0,8.0,15.0,54.0,-14.0
698,Bologna,2017,2018,38,11,6,21,40,52,39,16.0,8.0,14.0,58.0,-19.0
699,Cagliari,2017,2018,38,11,6,21,33,61,39,14.0,8.0,16.0,51.0,-12.0
700,SPAL 2013,2017,2018,38,8,14,16,39,59,38,16.0,8.0,14.0,55.0,-17.0
701,Crotone,2017,2018,38,9,8,21,40,66,35,15.0,7.0,16.0,53.0,-18.0
702,Verona,2017,2018,38,7,4,27,30,78,25,12.0,8.0,18.0,45.0,-20.0
703,Benevento,2017,2018,38,6,3,29,33,84,21,12.0,7.0,19.0,45.0,-24.0
704,Juventus,2018,2019,38,28,6,4,70,30,90,23.0,8.0,7.0,78.0,12.0
705,Napoli,2018,2019,38,24,7,7,74,36,79,22.0,7.0,9.0,75.0,4.0
706,Atalanta,2018,2019,38,20,9,9,77,46,69,21.0,7.0,10.0,71.0,-2.0
707,Inter,2018,2019,38,20,9,9,57,33,69,21.0,9.0,8.0,74.0,-5.0
708,AC Milan,2018,2019,38,19,11,8,55,36,68,21.0,8.0,9.0,71.0,-3.0
709,Roma,2018,2019,38,18,12,8,66,48,66,20.0,7.0,11.0,68.0,-2.0
710,Torino,2018,2019,38,16,15,7,52,37,63,20.0,9.0,9.0,70.0,-7.0
711,Lazio,2018,2019,38,17,8,13,56,46,59,19.0,8.0,11.0,66.0,-7.0
712,Sampdoria,2018,2019,38,15,8,15,60,51,53,19.0,7.0,12.0,65.0,-12.0
713,Bologna,2018,2019,38,11,11,16,48,56,44,17.0,7.0,14.0,60.0,-16.0
714,Sassuolo,2018,2019,38,9,16,13,53,60,43,17.0,7.0,14.0,59.0,-16.0
715,Udinese,2018,2019,38,11,10,17,39,53,43,16.0,8.0,14.0,58.0,-15.0
716,SPAL 2013,2018,2019,38,11,9,18,44,56,42,17.0,8.0,13.0,58.0,-16.0
717,Fiorentina,2018,2019,38,8,17,13,47,45,41,18.0,8.0,12.0,64.0,-23.0
718,Cagliari,2018,2019,38,10,11,17,36,54,41,16.0,9.0,13.0,56.0,-15.0
719,Parma Calcio 1913,2018,2019,38,10,11,17,41,61,41,16.0,8.0,14.0,55.0,-14.0
720,Genoa,2018,2019,38,8,14,16,39,57,38,16.0,8.0,14.0,56.0,-18.0
721,Empoli,2018,2019,38,10,8,20,51,70,38,16.0,7.0,15.0,56.0,-18.0
722,Frosinone,2018,2019,38,5,10,23,29,69,25,13.0,8.0,17.0,47.0,-22.0
723,Chievo,2018,2019,38,2,14,22,25,75,20,11.0,9.0,18.0,43.0,-23.0
724,Juventus,2019,2020,38,26,5,7,76,43,83,22.0,7.0,9.0,72.0,11.0
725,Inter,2019,2020,38,24,10,4,81,36,82,23.0,7.0,8.0,77.0,5.0
726,Atalanta,2019,2020,38,23,9,6,98,48,78,22.0,6.0,10.0,74.0,4.0
727,Lazio,2019,2020,38,24,6,8,79,42,78,22.0,7.0,9.0,73.0,5.0
728,Roma,2019,2020,38,21,7,10,77,51,70,21.0,6.0,11.0,69.0,1.0
729,AC Milan,2019,2020,38,19,9,10,63,46,66,20.0,7.0,11.0,68.0,-2.0
730,Napoli,2019,2020,38,18,8,12,61,50,62,20.0,7.0,11.0,66.0,-4.0
731,Sassuolo,2019,2020,38,14,9,15,69,63,51,19.0,6.0,13.0,63.0,-12.0
732,Fiorentina,2019,2020,38,12,13,13,51,48,49,18.0,8.0,12.0,64.0,-15.0
733,Parma Calcio 1913,2019,2020,38,14,7,17,56,57,49,18.0,7.0,13.0,62.0,-13.0
734,Verona,2019,2020,38,12,13,13,47,51,49,18.0,8.0,12.0,61.0,-12.0
735,Bologna,2019,2020,38,12,11,15,52,65,47,17.0,7.0,14.0,58.0,-11.0
736,Cagliari,2019,2020,38,11,12,15,52,56,45,18.0,7.0,13.0,61.0,-16.0
737,Udinese,2019,2020,38,12,9,17,37,51,45,16.0,9.0,13.0,57.0,-12.0
738,Sampdoria,2019,2020,38,12,6,20,48,65,42,16.0,7.0,15.0,56.0,-14.0
739,Torino,2019,2020,38,11,7,20,46,68,40,16.0,7.0,15.0,54.0,-14.0
740,Genoa,2019,2020,38,10,9,19,47,73,39,15.0,7.0,16.0,53.0,-14.0
741,Lecce,2019,2020,38,9,8,21,52,85,35,15.0,6.0,17.0,52.0,-17.0
742,Brescia,2019,2020,38,6,7,25,35,79,25,13.0,7.0,18.0,47.0,-22.0
743,SPAL 2013,2019,2020,38,5,5,28,27,77,20,12.0,8.0,18.0,44.0,-24.0
744,Inter,2020,2021,38,28,7,3,89,35,91,24.0,7.0,7.0,79.0,12.0
745,AC Milan,2020,2021,38,24,7,7,74,41,79,22.0,7.0,9.0,73.0,6.0
746,Atalanta,2020,2021,38,23,9,6,90,47,78,22.0,6.0,10.0,73.0,5.0
747,Juventus,2020,2021,38,23,9,6,77,38,78,23.0,7.0,8.0,75.0,3.0
748,Napoli,2020,2021,38,24,5,9,86,41,77,23.0,7.0,8.0,75.0,2.0
749,Lazio,2020,2021,38,21,5,12,61,55,68,19.0,7.0,12.0,64.0,4.0
750,Roma,2020,2021,38,18,9,11,68,55,63,20.0,6.0,12.0,66.0,-3.0
751,Sassuolo,2020,2021,38,17,11,10,64,56,62,19.0,7.0,12.0,64.0,-2.0
752,Sampdoria,2020,2021,38,15,7,16,52,54,52,18.0,7.0,13.0,62.0,-10.0
753,Verona,2020,2021,38,10,13,15,43,48,43,17.0,8.0,13.0,61.0,-18.0
754,Genoa,2020,2021,38,10,12,16,47,58,42,17.0,7.0,14.0,59.0,-17.0
755,Bologna,2020,2021,38,10,11,17,51,65,41,17.0,7.0,14.0,57.0,-16.0
756,Fiorentina,2020,2021,38,9,13,16,47,59,40,17.0,7.0,14.0,58.0,-18.0
757,Udinese,2020,2021,38,10,10,18,42,58,40,16.0,8.0,14.0,57.0,-17.0
758,Spezia,2020,2021,38,9,12,17,52,72,39,16.0,6.0,16.0,55.0,-16.0
759,Cagliari,2020,2021,38,9,10,19,43,59,37,16.0,8.0,14.0,57.0,-20.0
760,Torino,2020,2021,38,7,16,15,50,69,37,16.0,7.0,15.0,55.0,-18.0
761,Benevento,2020,2021,38,7,12,19,40,75,33,14.0,7.0,17.0,51.0,-18.0
762,Crotone,2020,2021,38,6,5,27,45,92,23,14.0,6.0,18.0,48.0,-25.0
763,Parma Calcio 1913,2020,2021,38,3,11,24,39,83,20,14.0,7.0,17.0,48.0,-28.0
764,AC Milan,2021,2022,38,26,8,4,69,31,86,23.0,8.0,7.0,78.0,8.0
765,Inter,2021,2022,38,25,9,4,84,32,84,24.0,7.0,7.0,79.0,5.0
766,Napoli,2021,2022,38,24,7,7,74,31,79,23.0,8.0,7.0,78.0,1.0
767,Juventus,2021,2022,38,20,10,8,57,37,70,21.0,8.0,9.0,71.0,-1.0
768,Lazio,2021,2022,38,18,10,10,77,58,64,20.0,6.0,12.0,67.0,-3.0
769,Roma,2021,2022,38,18,9,11,59,43,63,20.0,8.0,10.0,68.0,-5.0
770,Fiorentina,2021,2022,38,19,5,14,59,51,62,19.0,7.0,12.0,65.0,-3.0
771,Atalanta,2021,2022,38,16,11,11,65,48,59,20.0,7.0,11.0,68.0,-9.0
772,Verona,2021,2022,38,14,11,13,65,59,53,19.0,6.0,13.0,63.0,-10.0
773,Torino,2021,2022,38,13,11,14,46,41,50,19.0,9.0,10.0,66.0,-16.0
774,Sassuolo,2021,2022,38,13,11,14,64,66,50,18.0,6.0,14.0,61.0,-11.0
775,Udinese,2021,2022,38,11,14,13,61,58,47,19.0,7.0,12.0,63.0,-16.0
776,Bologna,2021,2022,38,12,10,16,44,55,46,17.0,8.0,13.0,59.0,-13.0
777,Empoli,2021,2022,38,10,11,17,50,70,41,16.0,7.0,15.0,55.0,-14.0
778,Sampdoria,2021,2022,38,10,6,22,46,63,36,16.0,7.0,15.0,56.0,-20.0
779,Spezia,2021,2022,38,10,6,22,41,71,36,15.0,7.0,16.0,52.0,-16.0
780,Salernitana,2021,2022,38,7,10,21,33,78,31,13.0,8.0,17.0,47.0,-16.0
781,Cagliari,2021,2022,38,6,12,20,34,68,30,14.0,8.0,16.0,50.0,-20.0
782,Genoa,2021,2022,38,4,16,18,27,60,28,13.0,9.0,16.0,49.0,-21.0
783,Venezia,2021,2022,38,6,9,23,34,69,27,14.0,8.0,16.0,49.0,-22.0
