,Test points,Decision tree points,Random forest points,XGBoost points,Polynomial points
0,43,32.25714285714286,33.77,32.88556,43.00000000036107
1,54,45.31818181818182,50.97,54.58794,53.999999998964086
2,50,39.03333333333333,48.32,49.48583,49.9999999975671
3,39,37.892857142857146,38.12,37.209362,38.999999998964086
4,71,65.4054054054054,65.87,67.80829,71.00000000175805
5,33,37.892857142857146,39.55,37.831882,32.99999999989541
6,62,65.4054054054054,68.37,65.52889,61.99999999663578
7,56,44.2,43.57,44.025227,56.00000000036107
8,62,65.4054054054054,65.53,65.494576,61.99999999570446
9,54,47.666666666666664,47.89,45.577488,53.99999999942975
10,49,44.96666666666667,48.43,47.989742,48.99999999617012
11,58,65.4054054054054,61.5,58.397556,57.99999999384181
12,41,44.2,44.35,40.73326,41.000000002223715
13,62,51.793103448275865,52.9,53.421173,62.00000000036107
14,63,60.76190476190476,59.29,61.27946,62.9999999975671
15,64,65.4054054054054,62.49,64.41337,63.99999999663578
16,81,78.13333333333334,72.16,77.142944,81.00000000036107
17,56,51.793103448275865,55.03,54.60268,56.000000006414666
18,24,35.05555555555556,32.33,28.79354,23.99999999663578
19,50,47.666666666666664,47.48,46.503323,50.00000000036107
20,47,45.31818181818182,43.93,45.030426,47.00000000036107
21,77,78.13333333333334,75.34,77.71382,76.99999999570446
22,44,44.96666666666667,43.27,46.022583,44.00000000408636
23,33,37.892857142857146,41.31,40.011047,33.00000000129239
24,56,47.035714285714285,46.56,48.944813,56.00000000036107
25,47,44.96666666666667,46.24,46.264988,46.999999994773134
26,49,45.31818181818182,48.19,50.580475,48.99999999989541
27,38,32.25714285714286,36.47,37.334743,38.00000000175805
28,59,59.68292682926829,58.06,58.13228,58.99999999430747
29,36,35.05555555555556,34.68,37.597576,35.99999999710144
30,35,32.25714285714286,31.24,29.937958,34.999999994773134
31,34,32.25714285714286,34.83,37.859924,33.99999999337615
32,37,41.21875,41.91,43.238937,36.999999991047844
33,54,47.035714285714285,52.19,52.51346,53.99999999384181
34,45,39.03333333333333,36.55,37.525352,44.99999999617012
35,82,88.74074074074075,80.16,82.12921,82.000000005949
36,46,47.035714285714285,46.42,45.129917,45.999999998964086
37,40,37.892857142857146,37.11,35.62482,39.9999999975671
38,55,47.035714285714285,50.91,51.025883,54.999999998964086
39,50,47.035714285714285,47.0,48.528694,50.00000000082673
40,59,54.666666666666664,60.19,62.487625,58.999999994773134
41,63,59.68292682926829,56.65,59.147076,62.999999994773134
42,42,39.03333333333333,38.63,40.034615,42.00000000082673
43,66,60.76190476190476,62.7,63.640358,66.00000000036107
44,40,37.892857142857146,42.04,41.368504,39.99999999942975
45,53,60.76190476190476,56.22,49.129944,53.00000000082673
46,38,41.21875,39.21,38.63863,38.00000000315504
47,39,37.892857142857146,37.28,33.32136,38.99999999989541
48,47,47.035714285714285,49.85,50.649242,46.99999999710144
49,84,88.74074074074075,85.53,83.27545,83.99999999477313
50,37,39.03333333333333,37.9,35.158165,37.000000005483344
51,60,59.68292682926829,55.49,56.419216,59.99999999337615
52,36,32.25714285714286,35.27,36.874237,36.00000000175805
53,41,44.96666666666667,45.14,43.948486,41.00000000036107
54,62,60.76190476190476,60.38,60.630463,62.00000000036107
55,82,88.74074074074075,85.0,81.61574,81.99999999849842
56,61,59.68292682926829,58.43,63.809223,60.99999999942975
57,61,59.68292682926829,64.9,62.707386,60.99999999803276
58,49,51.793103448275865,47.54,46.91101,48.99999999803276
59,43,35.05555555555556,32.23,32.965893,43.00000000036107
60,33,32.25714285714286,33.36,31.853294,33.00000000082673
61,49,54.666666666666664,48.69,49.473194,48.9999999975671
62,39,37.892857142857146,35.32,35.053505,38.99999999570446
63,37,40.833333333333336,39.91,38.372856,36.9999999975671
64,35,37.892857142857146,37.49,36.74925,34.99999999617012
65,61,60.76190476190476,61.73,63.727318,60.99999999617012
66,90,88.74074074074075,90.31,88.974655,89.9999999975671
67,37,37.892857142857146,39.88,39.70037,36.999999998964086
68,44,54.666666666666664,49.87,47.304935,43.99999999337615
69,40,37.892857142857146,37.79,41.544544,39.99999999384181
70,35,37.892857142857146,37.74,38.39152,35.000000002689376
71,52,54.666666666666664,51.04,53.375153,51.99999999989541
72,46,41.21875,41.63,44.847267,45.9999999975671
73,53,47.035714285714285,48.0,49.18434,52.99999999989541
74,54,47.666666666666664,49.72,52.952343,54.00000000315504
75,35,44.96666666666667,42.72,40.9041,34.99999999617012
76,39,32.25714285714286,35.29,34.707737,38.999999994773134
77,43,47.035714285714285,46.9,45.943398,42.99999999617012
78,62,60.76190476190476,61.78,65.440834,61.99999999989541
79,65,78.13333333333334,74.15,65.60439,64.99999999989541
80,43,44.2,50.07,49.20183,42.999999998964086
81,47,41.21875,42.47,44.932644,46.999999995238795
82,52,59.68292682926829,52.23,50.307213,52.0000000036207
83,53,44.96666666666667,45.63,45.714073,52.99999999617012
84,60,51.793103448275865,51.63,51.196533,59.999999995238795
85,38,40.833333333333336,39.55,38.814465,38.000000005483344
86,57,59.68292682926829,53.9,52.656452,56.99999999384181
87,49,41.21875,39.33,40.617115,49.000000002223715
88,45,47.035714285714285,46.56,46.440464,45.000000002223715
89,52,59.68292682926829,53.45,51.9891,52.00000000082673
90,28,32.25714285714286,33.86,36.212334,27.9999999975671
91,47,47.035714285714285,44.97,44.201073,47.000000002223715
92,53,47.035714285714285,50.67,49.761787,53.00000000129239
93,59,59.68292682926829,58.46,62.544216,58.99999999617012
94,36,32.25714285714286,34.69,34.93964,35.99999999663578
95,88,88.74074074074075,80.15,78.538956,87.99999999244483
96,46,59.68292682926829,54.1,48.91696,46.00000000315504
97,50,47.035714285714285,46.85,45.188087,49.99999999663578
98,56,59.68292682926829,58.51,58.210697,55.999999995238795
99,43,37.892857142857146,39.43,41.694283,43.00000000036107
100,60,51.793103448275865,60.42,57.26573,59.99999999244483
101,52,45.31818181818182,47.07,47.48297,52.00000000036107
102,98,88.74074074074075,92.35,93.85299,97.99999999849842
103,86,88.74074074074075,89.3,87.755936,85.99999999849842
104,16,23.875,19.67,15.65357,16.000000006414666
105,40,41.21875,39.18,39.575005,39.99999999942975
106,49,59.68292682926829,53.25,52.87501,48.99999999803276
107,47,47.035714285714285,51.52,50.605194,46.9999999975671
108,48,44.96666666666667,47.37,47.244972,47.99999999710144
109,35,40.833333333333336,37.29,39.874138,34.999999998964086
110,42,40.833333333333336,44.67,44.479366,41.99999999663578
111,48,37.892857142857146,38.37,37.865658,47.999999998964086
112,71,65.4054054054054,65.01,66.61133,71.00000000036107
113,60,65.4054054054054,59.55,57.535267,59.99999999244483
114,30,37.892857142857146,34.02,32.829006,29.999999996170118
115,79,78.13333333333334,74.09,71.863396,78.99999999617012
116,67,60.76190476190476,64.19,66.51274,66.99999999803276
117,76,59.68292682926829,67.36,68.4626,75.99999999104784
118,35,32.25714285714286,36.14,34.81471,34.99999999384181
119,93,88.74074074074075,92.66,96.03731,92.99999999942975
120,42,40.833333333333336,40.86,39.674603,42.00000000082673
121,38,37.892857142857146,38.82,39.722958,37.99999999384181
122,35,39.03333333333333,34.81,35.546024,35.00000000315504
123,63,65.4054054054054,64.41,65.51302,62.99999999570446
124,37,32.25714285714286,34.77,34.94595,36.99999999617012
125,72,65.4054054054054,64.01,65.61365,71.99999999942975
126,83,75.83333333333333,75.64,74.00753,83.00000000455202
127,39,41.21875,42.71,41.793587,38.999999994773134
128,55,51.793103448275865,47.41,50.503605,54.99999999710144
129,46,45.31818181818182,45.0,48.089893,45.99999999803276
130,40,39.03333333333333,39.4,36.53852,39.999999991047844
131,62,54.666666666666664,57.7,63.585007,62.000000002689376
132,50,60.76190476190476,59.22,62.270393,49.99999999803276
133,45,44.96666666666667,46.64,48.155773,44.99999999710144
134,59,54.666666666666664,58.76,56.04307,58.99999999942975
135,43,39.03333333333333,39.8,41.624214,42.999999994773134
136,67,59.68292682926829,65.43,65.94175,67.00000000082673
137,48,44.96666666666667,46.27,44.721878,48.00000000315504
138,55,60.76190476190476,57.07,55.617832,55.00000000082673
139,52,51.793103448275865,47.82,47.276768,51.999999994773134
140,41,45.31818181818182,43.2,45.546833,40.99999999291049
141,66,59.68292682926829,61.6,58.765312,66.000000005949
142,69,75.83333333333333,75.25,74.54015,69.00000000082673
143,38,44.96666666666667,42.11,40.855003,38.00000000129239
144,58,51.793103448275865,51.35,55.856327,57.99999999989541
145,41,37.892857142857146,40.41,39.47044,41.00000000036107
146,42,45.31818181818182,41.08,39.625584,41.99999999663578
147,79,75.83333333333333,80.64,80.835175,78.99999999058218
148,70,75.83333333333333,69.48,70.2628,69.99999999477313
149,57,47.666666666666664,50.24,51.731503,56.99999999663578
150,67,75.83333333333333,74.93,74.23373,66.9999999975671
151,51,54.666666666666664,53.71,48.53865,51.000000002689376
152,36,37.892857142857146,41.53,39.014797,35.999999998964086
153,25,32.25714285714286,27.02,27.702993,24.999999999429747
154,60,59.68292682926829,56.53,56.90755,60.00000000408636
155,34,35.05555555555556,27.15,30.215645,33.999999998498424
156,93,88.74074074074075,91.82,92.69852,92.99999999058218
157,64,75.83333333333333,72.14,66.97101,63.999999994773134
158,30,39.03333333333333,34.73,37.023674,29.999999995704457
159,36,39.03333333333333,37.79,37.095165,35.99999999942975
160,38,40.833333333333336,41.27,40.202778,37.999999998964086
161,75,75.83333333333333,81.26,82.154144,75.00000000548334
162,30,39.03333333333333,32.48,29.744326,29.99999998965086
163,51,51.793103448275865,52.56,52.165318,51.000000005483344
164,45,39.03333333333333,41.08,45.066933,45.00000000129239
165,47,54.666666666666664,55.29,55.650375,47.00000000688033
166,48,47.035714285714285,52.01,48.985264,47.99999999942975
167,41,37.892857142857146,39.77,40.237236,40.999999998498424
168,52,47.666666666666664,51.96,52.57864,51.99999999942975
169,49,45.31818181818182,44.63,45.968575,48.99999999617012
170,32,35.05555555555556,36.3,38.06798,31.99999999291049
171,75,75.83333333333333,74.2,76.282074,75.00000000920863
172,73,65.4054054054054,69.11,69.43818,72.99999999430747
173,28,32.25714285714286,31.41,30.924982,27.99999999710144
174,31,23.875,27.61,27.469557,30.99999999710144
175,92,88.74074074074075,88.0,91.558105,91.99999999104784
176,40,41.21875,41.14,42.819336,39.999999995238795
177,43,47.035714285714285,46.66,45.961746,42.99999999291049
178,93,75.83333333333333,80.6,81.181175,92.99999999617012
179,55,60.76190476190476,56.04,53.068775,55.00000000036107
180,69,59.68292682926829,68.5,70.96272,68.99999999384181
181,21,23.875,20.64,21.956709,21.0000000036207
182,42,47.666666666666664,45.67,47.08261,41.99999999617012
183,38,32.25714285714286,34.36,38.688,37.99999999663578
184,82,88.74074074074075,84.76,86.66929,82.00000000222371
185,30,32.25714285714286,32.59,29.955717,30.000000002223715
186,20,23.875,21.43,18.602175,19.99999999291049
187,53,54.666666666666664,59.34,56.366108,52.99999999803276
188,44,41.21875,38.97,39.265434,43.99999999384181
189,36,37.892857142857146,39.24,39.52174,36.00000000408636
190,21,23.875,22.76,22.240866,21.000000002223715
191,60,60.76190476190476,49.48,51.70994,59.99999999803276
192,42,44.2,45.34,45.937782,41.99999999570446
193,33,32.25714285714286,32.72,34.14,32.99999999989541
194,30,39.03333333333333,35.67,36.836746,29.999999999429747
195,66,54.666666666666664,62.07,61.522816,65.99999999244483
