,Unnamed: 0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,league,year_start,year_end
160,1,Bayern Munich,34,27,3,4,92,28,84,76.55,70.49,30.64,27.32,43.17,7.79,18.33,375,117,73.52,bundesliga,2017,2018
161,2,Schalke 04,34,18,9,7,53,37,63,46.83,39.25,39.42,34.86,4.39,8.99,8.93,150,168,51.69,bundesliga,2017,2018
162,3,Hoffenheim,34,15,10,9,66,48,55,50.72,46.78,45.2,42.16,4.62,10.71,10.83,251,202,49.86,bundesliga,2017,2018
163,4,Borussia Dortmund,34,15,10,9,64,47,55,66.1,61.55,40.86,38.58,22.97,7.48,13.34,289,172,63.16,bundesliga,2017,2018
164,5,Bayer Leverkusen,34,15,10,9,58,44,55,56.98,53.19,36.92,32.37,20.82,9.31,10.22,274,171,61.54,bundesliga,2017,2018
165,6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.42,47.63,47.42,43.63,4.0,7.68,9.39,259,183,48.47,bundesliga,2017,2018
166,7,VfB Stuttgart,34,15,6,13,36,36,51,37.91,35.64,39.35,34.8,0.8300000000000001,10.93,10.49,148,204,46.67,bundesliga,2017,2018
167,8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.06,39.54,40.91,38.64,0.91,9.12,9.5,193,160,47.19,bundesliga,2017,2018
168,9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.25,45.94,52.09,49.06,-3.11,10.6,11.09,209,250,48.93,bundesliga,2017,2018
169,10,Hertha Berlin,34,10,13,11,43,46,43,38.58,34.79,44.71,39.41,-4.62,11.85,9.82,115,227,41.89,bundesliga,2017,2018
170,11,Werder Bremen,34,10,12,12,37,40,42,38.51,38.51,43.47,40.25,-1.74,10.95,9.62,186,195,42.7,bundesliga,2017,2018
171,12,Augsburg,34,10,11,13,43,46,41,42.26,39.23,40.82,38.54,0.6900000000000001,10.21,8.63,154,228,45.9,bundesliga,2017,2018
172,13,Hannover 96,34,10,9,15,44,54,39,41.22,37.29,54.36,51.33,-14.04,10.32,8.1,174,224,39.58,bundesliga,2017,2018
173,14,Mainz 05,34,9,9,16,38,52,36,31.65,28.62,45.18,39.88,-11.26,10.19,7.28,147,223,37.92,bundesliga,2017,2018
174,15,Freiburg,34,8,12,14,32,56,36,36.98,29.4,45.66,41.87,-12.47,12.11,8.52,165,204,40.82,bundesliga,2017,2018
175,16,Wolfsburg,34,6,15,13,36,48,33,32.11,27.36,49.43,42.46,-15.1,12.39,9.75,139,237,34.8,bundesliga,2017,2018
176,17,Hamburger SV,34,8,7,19,29,53,31,36.04,32.1,54.06,51.03,-18.92,8.49,7.88,190,216,38.59,bundesliga,2017,2018
177,18,FC Cologne,34,5,7,22,35,70,22,41.5,39.23,67.17,60.35,-21.12,11.38,9.72,208,245,32.18,bundesliga,2017,2018
178,1,Bayern Munich,34,25,4,5,80,18,79,66.21,61.66,21.94,20.42,41.24,5.65,17.79,388,83,73.61,bundesliga,2014,2015
179,2,Wolfsburg,34,20,9,5,72,38,69,58.35,55.32,38.82,36.42,18.9,8.43,9.66,172,164,59.95,bundesliga,2014,2015
180,3,Borussia M.Gladbach,34,19,9,6,53,26,66,51.74,49.47,36.34,33.31,16.16,11.41,11.93,221,198,57.01,bundesliga,2014,2015
181,4,Bayer Leverkusen,34,17,10,7,62,37,61,49.16,48.4,34.72,30.17,18.22,5.5,6.61,246,108,55.34,bundesliga,2014,2015
182,5,Augsburg,34,15,4,15,43,43,49,43.91,37.72,46.66,43.63,-5.91,7.06,9.39,134,221,45.5,bundesliga,2014,2015
183,6,Schalke 04,34,13,9,12,42,40,48,41.26,38.99,46.96,45.45,-6.46,9.3,8.87,161,214,45.07,bundesliga,2014,2015
184,7,Borussia Dortmund,34,13,7,14,47,42,46,53.86,51.59,33.4,31.88,19.71,7.4,10.75,292,112,58.08,bundesliga,2014,2015
185,8,Hoffenheim,34,12,8,14,49,55,44,49.96,46.17,50.0,46.97,-0.79,6.85,7.85,207,206,46.03,bundesliga,2014,2015
186,9,Eintracht Frankfurt,34,11,10,13,56,62,43,47.37,44.34,55.04,52.77,-8.43,7.88,7.42,185,227,41.72,bundesliga,2014,2015
187,10,Werder Bremen,34,11,10,13,50,65,43,42.67,39.56,52.38,48.59,-9.03,8.27,5.79,182,236,39.38,bundesliga,2014,2015
188,11,Mainz 05,34,9,13,12,45,47,40,43.91,40.12,48.11,43.48,-3.36,9.49,7.82,183,196,44.93,bundesliga,2014,2015
189,12,FC Cologne,34,9,13,12,34,40,40,32.22,29.19,40.52,37.49,-8.3,15.42,9.06,137,230,41.82,bundesliga,2014,2015
190,13,Hannover 96,34,9,10,15,40,56,37,36.43,34.16,46.28,44.77,-10.61,9.0,8.75,179,198,41.25,bundesliga,2014,2015
191,14,VfB Stuttgart,34,9,9,16,42,60,36,45.64,44.88,48.1,45.07,-0.19,9.06,8.75,143,201,44.26,bundesliga,2014,2015
192,15,Hertha Berlin,34,9,8,17,36,52,35,32.66,29.63,46.2,43.92,-14.3,10.66,6.18,96,196,36.11,bundesliga,2014,2015
193,16,Hamburger SV,34,9,8,17,25,50,35,32.86,30.59,55.83,49.77,-19.18,7.75,7.11,138,185,33.57,bundesliga,2014,2015
194,17,Freiburg,34,7,13,14,36,47,34,38.69,31.87,45.91,44.4,-12.53,10.75,7.83,229,232,43.02,bundesliga,2014,2015
195,18,Paderborn,34,7,10,17,31,65,31,36.08,35.32,55.77,50.47,-15.14,10.32,6.23,147,233,36.16,bundesliga,2014,2015
196,1,Bayern Munich,34,28,4,2,80,17,88,77.04,70.22,20.79,19.28,50.94,6.23,17.6,353,103,77.97,bundesliga,2015,2016
197,2,Borussia Dortmund,34,24,6,4,82,34,78,83.41,78.84,29.18,26.15,52.7,7.28,14.14,387,126,76.58,bundesliga,2015,2016
198,3,Bayer Leverkusen,34,18,6,10,56,40,60,52.91,50.63,41.24,35.93,14.7,5.93,7.76,243,165,56.66,bundesliga,2015,2016
199,4,Borussia M.Gladbach,34,17,4,13,67,50,55,53.67,50.64,49.07,43.01,7.63,7.98,11.39,243,186,50.06,bundesliga,2015,2016
200,5,Schalke 04,34,15,7,12,51,49,52,47.13,43.34,47.88,45.61,-2.27,9.2,9.39,228,197,45.62,bundesliga,2015,2016
201,6,Mainz 05,34,14,8,12,46,42,50,47.91,47.16,47.27,41.95,5.21,9.13,7.73,194,195,46.67,bundesliga,2015,2016
202,7,Hertha Berlin,34,14,8,12,42,42,50,35.9,33.62,43.94,40.91,-7.29,12.18,9.93,147,181,44.16,bundesliga,2015,2016
203,8,Wolfsburg,34,12,9,13,47,49,45,49.49,47.22,41.62,40.1,7.11,9.24,11.6,177,195,52.38,bundesliga,2015,2016
204,9,FC Cologne,34,10,13,11,38,42,43,42.87,39.84,44.43,41.4,-1.56,13.26,9.7,178,207,46.63,bundesliga,2015,2016
205,10,Hamburger SV,34,11,8,15,40,46,41,38.75,36.48,51.19,47.4,-10.92,8.57,7.29,149,208,38.62,bundesliga,2015,2016
206,11,Ingolstadt,34,10,10,14,33,42,40,41.02,33.43,45.82,42.79,-9.36,7.09,6.29,164,183,42.93,bundesliga,2015,2016
207,12,Augsburg,34,9,11,14,42,52,38,42.39,37.09,55.65,50.35,-13.26,10.39,9.13,119,249,41.18,bundesliga,2015,2016
208,13,Werder Bremen,34,10,8,16,50,65,38,50.12,43.3,51.8,47.25,-3.95,9.12,6.0,247,210,47.76,bundesliga,2015,2016
209,14,Darmstadt,34,9,11,14,38,53,38,39.03,36.0,51.06,48.03,-12.03,11.68,4.07,139,269,39.47,bundesliga,2015,2016
210,15,Hoffenheim,34,9,10,15,39,54,37,39.55,35.01,60.41,58.89,-23.88,9.77,8.04,198,292,36.17,bundesliga,2015,2016
211,16,Eintracht Frankfurt,34,9,9,16,34,52,36,32.95,31.43,54.31,50.52,-19.09,10.25,8.14,170,237,33.53,bundesliga,2015,2016
212,17,VfB Stuttgart,34,9,6,19,50,75,33,57.7,54.67,65.06,61.25,-6.58,8.48,8.53,208,229,45.48,bundesliga,2015,2016
213,18,Hannover 96,34,7,4,23,31,62,25,32.43,30.16,63.58,58.27,-28.12,11.7,7.86,134,246,26.46,bundesliga,2015,2016
214,1,Bayern Munich,34,24,5,5,97,37,77,99.91,96.12,38.61,37.09,59.02,7.88,16.92,522,162,78.83,bundesliga,2021,2022
215,2,Borussia Dortmund,34,22,3,9,85,52,69,65.65,57.31,47.67,43.13,14.18,10.06,14.4,306,198,58.3,bundesliga,2021,2022
216,3,Bayer Leverkusen,34,19,7,8,80,47,64,66.31,61.77,45.02,41.98,19.78,11.93,11.9,283,232,59.23,bundesliga,2021,2022
217,4,RasenBallsport Leipzig,34,17,7,10,72,37,58,67.4,60.58,44.38,42.1,18.47,11.06,13.13,357,166,60.59,bundesliga,2021,2022
218,5,Union Berlin,34,16,9,9,50,44,57,55.2,51.41,39.83,38.31,13.1,14.33,11.23,173,177,58.28,bundesliga,2021,2022
219,6,Freiburg,34,15,10,9,58,46,55,57.73,53.12,49.08,47.57,5.55,11.6,11.43,241,247,52.93,bundesliga,2021,2022
220,7,FC Cologne,34,14,10,10,52,49,52,52.3,51.54,53.09,52.33,-0.79,7.39,10.4,231,208,49.04,bundesliga,2021,2022
221,8,Mainz 05,34,13,7,14,50,45,46,52.08,49.05,43.41,38.86,10.19,9.85,9.61,223,182,50.62,bundesliga,2021,2022
222,9,Hoffenheim,34,13,7,14,58,60,46,59.77,59.77,57.27,54.17,5.6,11.49,14.6,269,176,46.7,bundesliga,2021,2022
223,10,Borussia M.Gladbach,34,12,9,13,54,61,45,59.92,54.62,60.71,56.92,-2.31,11.02,11.27,250,206,49.74,bundesliga,2021,2022
224,11,Eintracht Frankfurt,34,10,12,12,45,49,42,41.65,40.13,54.38,51.35,-11.22,10.06,12.38,164,266,39.63,bundesliga,2021,2022
225,12,Wolfsburg,34,12,6,16,43,54,42,49.27,46.24,53.48,48.15,-1.91,10.98,10.57,197,236,44.24,bundesliga,2021,2022
226,13,Bochum,34,12,6,16,38,52,42,44.78,40.24,58.18,52.12,-11.88,10.8,9.72,131,267,42.87,bundesliga,2021,2022
227,14,Augsburg,34,10,8,16,39,56,38,38.95,35.16,65.02,61.23,-26.07,12.86,8.07,160,268,33.66,bundesliga,2021,2022
228,15,VfB Stuttgart,34,7,12,15,41,59,33,47.91,45.61,55.46,52.43,-6.82,11.66,10.91,195,248,40.45,bundesliga,2021,2022
229,16,Hertha Berlin,34,9,6,19,37,71,33,37.89,35.62,58.79,52.73,-17.11,14.0,7.45,130,264,37.95,bundesliga,2021,2022
230,17,Arminia Bielefeld,34,5,13,16,27,53,28,27.22,25.71,69.67,64.36,-38.65,13.7,9.28,158,336,22.02,bundesliga,2021,2022
231,18,Greuther Fuerth,34,3,9,22,28,82,18,30.64,26.85,60.54,56.0,-29.15,12.28,8.89,108,259,26.48,bundesliga,2021,2022
232,1,Bayern Munich,34,24,6,4,99,44,78,75.93,68.35,38.87,36.6,31.75,8.05,16.21,424,157,67.04,bundesliga,2020,2021
233,2,RasenBallsport Leipzig,34,19,8,7,60,32,65,67.14,59.57,29.24,26.96,32.6,8.36,14.1,335,129,71.42,bundesliga,2020,2021
234,3,Borussia Dortmund,34,20,4,10,75,46,64,68.95,63.59,39.44,34.89,28.7,9.84,16.3,398,152,65.19,bundesliga,2020,2021
235,4,Wolfsburg,34,17,10,7,61,37,61,51.59,49.32,39.16,35.26,14.06,9.42,11.51,252,174,55.31,bundesliga,2020,2021
236,5,Eintracht Frankfurt,34,16,12,6,69,53,60,60.53,54.46,47.73,43.06,11.41,8.83,12.66,242,219,56.28,bundesliga,2020,2021
237,6,Bayer Leverkusen,34,14,10,10,53,39,52,47.28,45.0,40.41,38.85,6.15,9.37,14.97,228,172,50.01,bundesliga,2020,2021
238,7,Union Berlin,34,12,14,8,50,43,50,46.0,40.56,43.51,39.72,0.85,15.81,11.62,136,189,51.71,bundesliga,2020,2021
239,8,Borussia M.Gladbach,34,13,10,11,64,56,49,54.11,45.77,44.71,40.17,5.61,11.64,12.93,228,213,52.18,bundesliga,2020,2021
240,9,VfB Stuttgart,34,12,9,13,56,55,45,52.18,46.01,53.79,48.49,-2.48,10.72,9.95,220,275,47.18,bundesliga,2020,2021
241,10,Freiburg,34,12,9,13,52,52,45,45.11,40.57,52.98,48.43,-7.86,12.65,11.94,151,218,41.18,bundesliga,2020,2021
242,11,Hoffenheim,34,11,10,13,52,54,43,50.32,45.78,52.88,46.06,-0.28,11.08,12.45,243,218,45.18,bundesliga,2020,2021
243,12,Mainz 05,34,10,9,15,39,56,39,48.46,44.67,52.2,47.07,-2.39,12.6,8.44,192,219,44.37,bundesliga,2020,2021
244,13,Augsburg,34,10,6,18,36,54,36,36.01,32.23,57.15,50.33,-18.1,15.26,8.29,115,290,34.48,bundesliga,2020,2021
245,14,Hertha Berlin,34,8,11,15,41,52,35,40.71,36.17,46.69,40.63,-4.46,10.84,10.89,170,208,43.21,bundesliga,2020,2021
246,15,Arminia Bielefeld,34,9,8,17,26,52,35,31.14,29.6,58.98,54.44,-24.83,14.08,10.54,163,278,30.08,bundesliga,2020,2021
247,16,FC Cologne,34,8,9,17,34,60,33,39.64,35.09,53.18,46.23,-11.14,14.07,10.31,144,252,37.71,bundesliga,2020,2021
248,17,Werder Bremen,34,7,10,17,36,57,31,32.51,28.72,53.7,48.92,-20.2,14.56,9.05,134,250,33.75,bundesliga,2020,2021
249,18,Schalke 04,34,3,7,24,25,86,16,27.66,25.21,70.66,64.58,-39.36,13.52,7.85,135,297,20.47,bundesliga,2020,2021
250,1,Bayern Munich,34,25,7,2,89,22,82,73.91,70.12,27.04,24.77,45.35,6.22,18.57,433,133,73.76,bundesliga,2016,2017
251,2,RasenBallsport Leipzig,34,20,7,7,66,39,67,55.09,52.06,40.06,36.27,15.79,6.98,9.03,251,171,59.54,bundesliga,2016,2017
252,3,Borussia Dortmund,34,18,10,6,72,40,64,74.91,69.6,34.61,33.09,36.51,7.32,11.95,316,163,68.06,bundesliga,2016,2017
253,4,Hoffenheim,34,16,14,4,64,37,62,54.5,50.72,41.44,39.04,11.68,8.9,10.57,186,212,55.44,bundesliga,2016,2017
254,5,FC Cologne,34,12,13,9,51,42,49,45.34,42.3,41.27,38.24,4.06,11.25,7.89,137,243,48.75,bundesliga,2016,2017
255,6,Hertha Berlin,34,15,4,15,43,47,49,38.15,34.36,49.39,45.6,-11.24,11.25,10.38,166,237,40.4,bundesliga,2016,2017
256,7,Freiburg,34,14,6,14,42,60,48,39.41,33.22,54.62,50.07,-16.86,12.39,8.56,186,232,39.14,bundesliga,2016,2017
257,8,Werder Bremen,34,13,6,15,61,64,45,42.99,38.45,60.55,52.97,-14.52,11.72,7.16,213,236,38.82,bundesliga,2016,2017
258,9,Borussia M.Gladbach,34,12,9,13,45,49,45,45.82,42.78,44.44,40.65,2.13,10.49,11.66,211,218,47.31,bundesliga,2016,2017
259,10,Schalke 04,34,11,10,13,45,40,43,44.86,41.82,43.87,36.21,5.62,8.87,10.04,182,211,46.37,bundesliga,2016,2017
260,11,Eintracht Frankfurt,34,11,9,14,36,43,42,43.59,39.01,38.33,35.3,3.71,7.84,9.47,171,164,50.68,bundesliga,2016,2017
261,12,Bayer Leverkusen,34,11,8,15,53,55,41,53.1,46.28,50.38,48.11,-1.82,7.69,9.12,287,173,49.63,bundesliga,2016,2017
262,13,Augsburg,34,9,11,14,35,51,38,33.88,30.85,52.26,48.47,-17.62,10.84,7.68,100,248,34.81,bundesliga,2016,2017
263,14,Hamburger SV,34,10,8,16,33,61,38,31.91,30.31,57.14,51.07,-20.75,8.63,5.87,164,215,31.51,bundesliga,2016,2017
264,15,Mainz 05,34,10,7,17,44,55,37,42.36,37.06,43.23,40.2,-3.14,8.55,6.89,164,189,46.47,bundesliga,2016,2017
265,16,Wolfsburg,34,10,7,17,34,52,37,44.47,42.19,46.85,43.06,-0.87,10.16,9.78,168,174,46.38,bundesliga,2016,2017
266,17,Ingolstadt,34,8,8,18,36,57,32,44.51,38.45,49.19,43.1,-4.65,7.8,6.64,224,177,42.54,bundesliga,2016,2017
267,18,Darmstadt,34,7,4,23,28,63,25,33.91,28.6,68.04,61.98,-33.37,12.91,6.67,129,292,26.47,bundesliga,2016,2017
268,1,Bayern Munich,34,26,4,4,100,32,82,92.85,88.3,36.47,33.44,54.86,7.84,19.19,407,119,77.33,bundesliga,2019,2020
269,2,Borussia Dortmund,34,21,6,7,84,41,69,64.26,62.75,42.02,39.75,22.99,11.7,16.94,297,135,62.48,bundesliga,2019,2020
270,3,RasenBallsport Leipzig,34,18,12,4,81,37,66,76.13,72.34,37.58,36.07,36.27,10.55,12.83,303,157,68.71,bundesliga,2019,2020
271,4,Borussia M.Gladbach,34,20,5,9,66,40,65,73.58,69.01,46.05,44.54,24.47,10.82,11.55,232,166,62.63,bundesliga,2019,2020
272,5,Bayer Leverkusen,34,19,6,9,61,44,63,61.88,60.37,49.68,48.16,12.21,7.69,14.98,230,158,54.62,bundesliga,2019,2020
273,6,Hoffenheim,34,15,7,12,53,53,52,56.66,53.63,58.75,52.69,0.94,12.35,12.56,201,230,45.87,bundesliga,2019,2020
274,7,Wolfsburg,34,13,10,11,48,46,49,54.43,51.4,41.91,38.12,13.28,9.6,9.45,192,171,55.69,bundesliga,2019,2020
275,8,Freiburg,34,13,9,12,48,47,48,46.14,41.59,63.37,60.31,-18.72,14.76,11.28,158,258,39.15,bundesliga,2019,2020
276,9,Eintracht Frankfurt,34,13,6,15,59,60,45,58.33,56.82,50.93,48.65,8.17,9.59,11.99,188,166,52.72,bundesliga,2019,2020
277,10,Hertha Berlin,34,11,8,15,48,59,41,44.3,42.03,55.58,50.27,-8.25,13.08,11.05,151,241,39.55,bundesliga,2019,2020
278,11,Union Berlin,34,12,5,17,41,58,41,41.58,37.79,54.94,51.91,-14.12,12.44,8.64,119,216,39.32,bundesliga,2019,2020
279,12,Schalke 04,34,9,12,13,38,58,39,35.93,34.41,54.22,49.68,-15.27,9.97,9.5,194,180,35.84,bundesliga,2019,2020
280,13,Mainz 05,34,11,4,19,44,65,37,46.19,43.92,62.9,59.11,-15.19,12.5,8.27,181,242,39.15,bundesliga,2019,2020
281,14,Augsburg,34,9,9,16,45,63,36,43.86,40.07,59.12,58.36,-18.29,15.83,7.93,133,223,39.78,bundesliga,2019,2020
282,15,FC Cologne,34,10,6,18,51,69,36,49.28,46.25,54.54,50.0,-3.75,10.65,9.34,167,226,43.89,bundesliga,2019,2020
283,16,Werder Bremen,34,8,7,19,42,69,31,37.74,33.19,56.94,56.18,-22.99,11.75,10.31,186,205,35.12,bundesliga,2019,2020
284,17,Fortuna Duesseldorf,34,6,12,16,36,67,30,35.69,32.66,64.45,60.66,-28.0,14.72,11.14,143,207,32.87,bundesliga,2019,2020
285,18,Paderborn,34,4,8,22,37,74,20,38.47,35.43,67.83,64.04,-28.61,12.53,8.74,113,295,28.67,bundesliga,2019,2020
286,1,Bayern Munich,34,24,6,4,88,32,78,92.24,89.21,27.41,22.87,66.34,8.16,22.59,435,89,82.0,bundesliga,2018,2019
287,2,Borussia Dortmund,34,23,7,4,81,44,76,64.99,61.96,42.88,39.09,22.88,13.42,14.03,268,159,62.85,bundesliga,2018,2019
288,3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.25,62.94,39.65,35.11,27.84,9.77,9.27,245,160,63.06,bundesliga,2018,2019
289,4,Bayer Leverkusen,34,18,4,12,69,52,58,61.49,57.7,45.71,41.16,16.54,9.39,14.16,288,165,57.4,bundesliga,2018,2019
290,5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.93,49.52,52.87,50.6,-1.08,15.15,16.59,237,227,51.38,bundesliga,2018,2019
291,6,Wolfsburg,34,16,7,11,62,50,55,49.49,45.7,49.84,45.19,0.51,9.47,12.18,181,182,47.04,bundesliga,2018,2019
292,7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84,58.81,51.02,50.26,8.55,10.52,10.12,178,217,54.38,bundesliga,2018,2019
293,8,Werder Bremen,34,14,11,9,58,49,53,49.36,46.33,56.71,52.92,-6.59,10.86,13.62,233,206,44.36,bundesliga,2018,2019
294,9,Hoffenheim,34,13,12,9,70,52,51,79.95,74.65,53.29,47.98,26.67,8.72,12.53,308,239,62.96,bundesliga,2018,2019
295,10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.47,44.17,63.06,57.76,-13.59,15.67,9.48,163,223,39.21,bundesliga,2018,2019
296,11,Hertha Berlin,34,11,10,13,49,57,43,50.52,47.49,61.58,57.04,-9.55,11.2,11.21,194,252,41.95,bundesliga,2018,2019
297,12,Mainz 05,34,12,7,15,46,57,43,49.21,46.94,62.8,59.77,-12.83,12.68,9.65,211,244,39.34,bundesliga,2018,2019
298,13,Freiburg,34,8,12,14,46,61,36,41.23,36.58,61.43,56.12,-19.54,13.87,10.06,141,249,35.67,bundesliga,2018,2019
299,14,Schalke 04,34,8,9,17,37,55,33,46.62,39.8,51.94,47.39,-7.59,11.05,8.61,168,184,44.16,bundesliga,2018,2019
300,15,Augsburg,34,8,8,18,51,71,32,47.44,43.65,63.79,62.17,-18.52,10.89,10.33,182,266,37.08,bundesliga,2018,2019
301,16,VfB Stuttgart,34,7,7,20,32,70,28,37.38,36.62,62.7,60.42,-23.81,13.19,10.5,153,260,31.99,bundesliga,2018,2019
302,17,Hannover 96,34,5,6,23,31,71,21,34.81,32.54,73.12,67.82,-35.28,11.49,9.01,157,309,25.21,bundesliga,2018,2019
303,18,Nuernberg,34,3,10,21,26,68,19,35.37,30.83,54.8,51.77,-20.94,18.19,8.99,148,259,35.12,bundesliga,2018,2019
304,1,Barcelona,38,29,4,5,112,29,91,113.6,99.48,34.03,33.29,66.19,5.66,13.68,570,163,94.38,la liga,2015,2016
305,2,Real Madrid,38,28,6,4,110,34,90,90.45,83.76,45.23,42.26,41.5,8.86,12.62,404,211,79.09,la liga,2015,2016
306,3,Atletico Madrid,38,28,4,6,63,18,88,54.93,53.44,27.8,27.05,26.39,8.42,8.49,261,170,72.28,la liga,2015,2016
307,4,Villarreal,38,18,10,10,44,35,64,40.49,38.26,41.63,39.4,-1.14,9.35,8.33,188,215,52.11,la liga,2015,2016
